augmentation,mean_val_acc,std_val_acc,mean_val_loss,std_val_loss,mean_class_0_sensitivity,std_class_0_sensitivity,mean_class_0_specificity,std_class_0_specificity,mean_class_1_sensitivity,std_class_1_sensitivity,mean_class_1_specificity,std_class_1_specificity,mean_macro_sensitivity,mean_macro_specificity
none,0.72,0.22070593809662467,0.5298225887616476,0.14994026074809777,0.7,0.35777087639996635,0.4,0.41952353926806063,0.4,0.41952353926806063,0.7,0.35777087639996635,0.55,0.55
horizontal_flip,0.7066666666666667,0.1284955684493092,0.563129317810138,0.11365070227322621,0.6699999999999999,0.33704599092705434,0.4,0.363318042491699,0.4,0.363318042491699,0.6699999999999999,0.33704599092705434,0.5349999999999999,0.5349999999999999
vertical_flip,0.6633333333333333,0.2072036035722674,0.5177359121417007,0.22262641652222942,0.72,0.37496666518505345,0.3,0.37947331922020555,0.3,0.37947331922020555,0.72,0.37496666518505345,0.51,0.51
random_rotation,0.6466666666666666,0.168457050246577,0.591495280067126,0.1423649999272912,0.48,0.276767050061961,0.4600000000000001,0.30886890422961,0.4600000000000001,0.30886890422961,0.48,0.276767050061961,0.47000000000000003,0.47000000000000003
elastic_deformation,0.6933333333333334,0.15867506980549206,0.5331392731207113,0.16955390304360482,0.75,0.3794733192202055,0.34,0.34554305086341996,0.34,0.34554305086341996,0.75,0.3794733192202055,0.545,0.545
brightness_contrast,0.7033333333333334,0.1863091814997616,0.5857400218645732,0.1386439464590022,0.55,0.4219004621945797,0.4600000000000001,0.3706750598570128,0.4600000000000001,0.3706750598570128,0.55,0.4219004621945797,0.5050000000000001,0.5050000000000001
random_zoom,0.6733333333333333,0.2012737218593404,0.5580259875456492,0.18864994417153239,0.55,0.3847076812334269,0.45,0.4427188724235731,0.45,0.4427188724235731,0.55,0.3847076812334269,0.5,0.5
clahe,0.67,0.20011108026404845,0.6196557855606079,0.09549653912850886,0.6,0.363318042491699,0.4,0.3847076812334269,0.4,0.3847076812334269,0.6,0.363318042491699,0.5,0.5
gaussian_noise,0.74,0.18306040290327977,0.5398584703604381,0.14983467959276292,0.41,0.4270831300812524,0.58,0.4749736834815167,0.58,0.4749736834815167,0.41,0.4270831300812524,0.495,0.495
gaussian_blur,0.71,0.21018510360579262,0.5400134481986363,0.18394348959827844,0.59,0.34698703145794946,0.38,0.43081318457076034,0.38,0.43081318457076034,0.59,0.34698703145794946,0.48500000000000004,0.48500000000000004
color_jitter,0.8033333333333333,0.1045625809423875,0.44778100351492567,0.16700246245399666,0.54,0.36660605559646725,0.63,0.40693979898751614,0.63,0.40693979898751614,0.54,0.36660605559646725,0.5850000000000001,0.5850000000000001
shift_scale_rotate,0.6033333333333333,0.1984383475484962,0.6667925417423248,0.14713670017560537,0.76,0.38262252939417984,0.13,0.26000000000000006,0.13,0.26000000000000006,0.76,0.38262252939417984,0.445,0.445
grayscale,0.6733333333333333,0.24508501926202397,0.5380773631980021,0.2479684600468642,0.49000000000000005,0.4363484845854286,0.53,0.44452221541785736,0.53,0.44452221541785736,0.49000000000000005,0.4363484845854286,0.51,0.51
opencv_flip,0.75,0.2347575581554535,0.47865037987629566,0.23736066149202495,0.7,0.3687817782917155,0.48,0.4069397989875161,0.48,0.4069397989875161,0.7,0.3687817782917155,0.59,0.59
opencv_rotate_90,0.7699999999999999,0.2463962481676844,0.4658676718672116,0.19909107182195307,0.6599999999999999,0.37202150475476553,0.45,0.45825756949558405,0.45,0.45825756949558405,0.6599999999999999,0.37202150475476553,0.5549999999999999,0.5549999999999999
opencv_grayscale,0.76,0.20374275719914833,0.45395159565222765,0.2355547209065361,0.5900000000000001,0.482078831727758,0.4,0.48989794855663565,0.4,0.48989794855663565,0.5900000000000001,0.482078831727758,0.495,0.495
opencv_gray_denoise,0.5,0.33333333333333337,0.6584234221775962,0.36539774447037476,0.6599999999999999,0.4270831300812524,0.13999999999999999,0.27999999999999997,0.13999999999999999,0.27999999999999997,0.6599999999999999,0.4270831300812524,0.4,0.4
opencv_color_denoise,0.7133333333333333,0.24908722256359203,0.5141139982889096,0.2759446287778214,0.49000000000000005,0.4476605857119878,0.45999999999999996,0.45431266766402184,0.45999999999999996,0.45431266766402184,0.49000000000000005,0.4476605857119878,0.475,0.475
opencv_scale,0.7033333333333334,0.21197484127446195,0.6031040406475464,0.15289240005116736,0.75,0.3794733192202055,0.27999999999999997,0.3709447398198282,0.27999999999999997,0.3709447398198282,0.75,0.3794733192202055,0.515,0.515
opencv_crop,0.6566666666666666,0.11430952132988165,0.5760734023650487,0.1547360378906027,0.5700000000000001,0.46861498055439926,0.32,0.41182520563948005,0.32,0.41182520563948005,0.5700000000000001,0.46861498055439926,0.445,0.445
opencv_noise,0.8099999999999999,0.13605554421305702,0.44416110172867773,0.18788890799265048,0.55,0.4538722287164087,0.5599999999999999,0.45760244754590196,0.5599999999999999,0.45760244754590196,0.55,0.4538722287164087,0.5549999999999999,0.5549999999999999
opencv_perspective,0.6699999999999999,0.1528979325490629,0.5983295551935832,0.10649929320049345,0.55,0.3286335345030996,0.4,0.34058772731852804,0.4,0.34058772731852804,0.55,0.3286335345030996,0.475,0.475
