Augmentation,Sensitivity,Specificity,Precision,Recall,F1-Score
none,0.3867,0.6683,0.4026,0.3867,0.3772
horizontal_flip,0.4400,0.6967,0.4706,0.4400,0.4317
vertical_flip,0.4667,0.6183,0.4415,0.4667,0.4273
random_rotation,0.3867,0.6600,0.3845,0.3867,0.3698
elastic_deformation,0.4267,0.7350,0.4303,0.4267,0.4125
brightness_contrast,0.4267,0.7600,0.4770,0.4267,0.4339
random_zoom,0.4400,0.6267,0.4097,0.4400,0.4109
clahe,0.4733,0.7167,0.4625,0.4733,0.4449
gaussian_noise,0.4800,0.4783,0.3241,0.4800,0.3802
gaussian_blur,0.2667,0.7733,0.3164,0.2667,0.2202
color_jitter,0.3400,0.7517,0.4467,0.3400,0.3749
shift_scale_rotate,0.5067,0.6950,0.4646,0.5067,0.4739
grayscale,0.4467,0.5617,0.2770,0.4467,0.3279
opencv_flip,0.4800,0.7583,0.5090,0.4800,0.4816
opencv_rotate_90,0.4733,0.7417,0.5007,0.4733,0.4596
opencv_grayscale,0.5667,0.4633,0.3963,0.5667,0.4331
opencv_gray_denoise,0.4800,0.6383,0.2866,0.4800,0.3417
opencv_color_denoise,0.4933,0.7233,0.4990,0.4933,0.4616
opencv_scale,0.4533,0.6550,0.4209,0.4533,0.4264
opencv_crop,0.4600,0.6817,0.4525,0.4600,0.4288
opencv_noise,0.2400,0.8450,0.4255,0.2400,0.2412
opencv_perspective,0.4800,0.6650,0.4332,0.4800,0.4210
