Augmentation,Sensitivity,Specificity,Precision,Recall,F1-Score
none,0.2533,0.7707,0.4121,0.2533,0.2444
horizontal_flip,0.3333,0.7780,0.4944,0.3333,0.3215
vertical_flip,0.2800,0.8300,0.2943,0.2800,0.2832
random_rotation,0.1600,0.8373,0.4190,0.1600,0.2005
elastic_deformation,0.3267,0.7800,0.4300,0.3267,0.3404
brightness_contrast,0.3667,0.7673,0.4674,0.3667,0.3748
random_zoom,0.1267,0.8447,0.3935,0.1267,0.1552
clahe,0.3867,0.7440,0.4383,0.3867,0.3917
gaussian_noise,0.3067,0.7547,0.3682,0.3067,0.3323
gaussian_blur,0.0667,0.9620,0.4000,0.0667,0.1052
color_jitter,0.4067,0.7040,0.4451,0.4067,0.3647
shift_scale_rotate,0.2867,0.8293,0.5000,0.2867,0.3203
grayscale,0.2933,0.5827,0.2061,0.2933,0.2364
opencv_flip,0.3333,0.7687,0.4873,0.3333,0.3154
opencv_rotate_90,0.3933,0.8500,0.5627,0.3933,0.4144
opencv_grayscale,0.0200,0.8000,0.0222,0.0200,0.0211
opencv_gray_denoise,0.0000,0.7947,0.0000,0.0000,0.0000
opencv_color_denoise,0.3000,0.7787,0.4179,0.3000,0.3004
opencv_scale,0.1467,0.8653,0.3921,0.1467,0.1741
opencv_crop,0.2200,0.9253,0.3278,0.2200,0.2588
opencv_noise,0.5733,0.6247,0.4436,0.5733,0.4809
opencv_perspective,0.0867,0.8840,0.4722,0.0867,0.1292
