Augmentation,Accuracy,MCC,Control_Sensitivity,Control_Specificity,Control_F1,Concordant_Sensitivity,Concordant_Specificity,Concordant_F1,Discordant_Sensitivity,Discordant_Specificity,Discordant_F1
none,0.6240 ± 0.1322,0.3727,0.7800,0.9333,0.7672,0.3867,0.6683,0.3772,0.2533,0.7707,0.2444
horizontal_flip,0.5827 ± 0.1828,0.4313,0.7600,0.9500,0.7487,0.4400,0.6967,0.4317,0.3333,0.7780,0.3215
vertical_flip,0.5443 ± 0.2223,0.4221,0.7600,0.9533,0.7568,0.4667,0.6183,0.4273,0.2800,0.8300,0.2832
random_rotation,0.5750 ± 0.1773,0.3097,0.8000,0.8200,0.6821,0.3867,0.6600,0.3698,0.1600,0.8373,0.2005
elastic_deformation,0.6447 ± 0.1354,0.4021,0.7700,0.9200,0.7319,0.4267,0.7350,0.4125,0.3267,0.7800,0.3404
brightness_contrast,0.6233 ± 0.1604,0.4638,0.8200,0.9633,0.8302,0.4267,0.7600,0.4339,0.3667,0.7673,0.3748
random_zoom,0.5253 ± 0.2280,0.3467,0.8100,0.8733,0.7242,0.4400,0.6267,0.4109,0.1267,0.8447,0.1552
clahe,0.6333 ± 0.2438,0.2796,0.5100,0.8133,0.4680,0.4733,0.7167,0.4449,0.3867,0.7440,0.3917
gaussian_noise,0.2887 ± 0.1534,0.1141,0.2700,0.9000,0.3562,0.4800,0.4783,0.3802,0.3067,0.7547,0.3323
gaussian_blur,0.5283 ± 0.1159,0.1326,0.8400,0.3667,0.5393,0.2667,0.7733,0.2202,0.0667,0.9620,0.1052
color_jitter,0.6523 ± 0.1477,0.4088,0.7600,0.9667,0.7629,0.3400,0.7517,0.3749,0.4067,0.7040,0.3647
shift_scale_rotate,0.6410 ± 0.1777,0.4710,0.8300,0.9533,0.8266,0.5067,0.6950,0.4739,0.2867,0.8293,0.3203
grayscale,0.5913 ± 0.1213,0.0271,0.1900,0.8700,0.2377,0.4467,0.5617,0.3279,0.2933,0.5827,0.2364
opencv_flip,0.6040 ± 0.1918,0.4433,0.7700,0.9200,0.7332,0.4800,0.7583,0.4816,0.3333,0.7687,0.3154
opencv_rotate_90,0.6027 ± 0.1345,0.4582,0.7800,0.8733,0.7032,0.4733,0.7417,0.4596,0.3933,0.8500,0.4144
opencv_grayscale,0.4740 ± 0.0889,0.1278,0.3400,0.8300,0.3899,0.5667,0.4633,0.4331,0.0200,0.8000,0.0211
opencv_gray_denoise,0.5750 ± 0.2147,-0.1293,0.2800,0.4867,0.2202,0.4800,0.6383,0.3417,0.0000,0.7947,0.0000
opencv_color_denoise,0.6020 ± 0.1279,0.4192,0.7500,0.9300,0.7289,0.4933,0.7233,0.4616,0.3000,0.7787,0.3004
opencv_scale,0.5993 ± 0.2081,0.3859,0.8600,0.8633,0.7913,0.4533,0.6550,0.4264,0.1467,0.8653,0.1741
opencv_crop,0.5217 ± 0.2279,0.3809,0.8300,0.7633,0.6845,0.4600,0.6817,0.4288,0.2200,0.9253,0.2588
opencv_noise,0.6850 ± 0.1689,0.4365,0.7000,0.9733,0.7152,0.2400,0.8450,0.2412,0.5733,0.6247,0.4809
opencv_perspective,0.5220 ± 0.1890,0.3205,0.8200,0.7667,0.6652,0.4800,0.6650,0.4210,0.0867,0.8840,0.1292
