Augmentation,Sensitivity,Specificity,Precision,Recall,F1-Score
none,0.7800,0.9333,0.8303,0.7800,0.7672
horizontal_flip,0.7600,0.9500,0.9065,0.7600,0.7487
vertical_flip,0.7600,0.9533,0.9205,0.7600,0.7568
random_rotation,0.8000,0.8200,0.6767,0.8000,0.6821
elastic_deformation,0.7700,0.9200,0.8857,0.7700,0.7319
brightness_contrast,0.8200,0.9633,0.8929,0.8200,0.8302
random_zoom,0.8100,0.8733,0.7253,0.8100,0.7242
clahe,0.5100,0.8133,0.4525,0.5100,0.4680
gaussian_noise,0.2700,0.9000,0.6151,0.2700,0.3562
gaussian_blur,0.8400,0.3667,0.4469,0.8400,0.5393
color_jitter,0.7600,0.9667,0.9333,0.7600,0.7629
shift_scale_rotate,0.8300,0.9533,0.9152,0.8300,0.8266
grayscale,0.1900,0.8700,0.6262,0.1900,0.2377
opencv_flip,0.7700,0.9200,0.7871,0.7700,0.7332
opencv_rotate_90,0.7800,0.8733,0.8205,0.7800,0.7032
opencv_grayscale,0.3400,0.8300,0.5328,0.3400,0.3899
opencv_gray_denoise,0.2800,0.4867,0.2749,0.2800,0.2202
opencv_color_denoise,0.7500,0.9300,0.8016,0.7500,0.7289
opencv_scale,0.8600,0.8633,0.7628,0.8600,0.7913
opencv_crop,0.8300,0.7633,0.6717,0.8300,0.6845
opencv_noise,0.7000,0.9733,0.7667,0.7000,0.7152
opencv_perspective,0.8200,0.7667,0.7433,0.8200,0.6652
