epoch,train_loss,train_acc,val_loss,val_acc
1,0.6949766459465027,0.548,0.6497728824615479,0.7
2,0.6592655010223388,0.64,0.7058927297592164,0.6
3,0.6262511277198791,0.7,0.7298518657684326,0.6
4,0.5931186947822571,0.746,0.7207181334495545,0.65
5,0.556104332447052,0.763,0.6745029330253601,0.7
6,0.5255312113761902,0.776,0.7678409457206726,0.6
7,0.505830753326416,0.797,0.7094751596450806,0.7
8,0.49547114181518553,0.791,0.7469599127769471,0.7
9,0.4642404780387878,0.811,0.7615727782249451,0.7
10,0.449712682723999,0.82,0.9021211504936218,0.65
11,0.44844234514236453,0.823,0.7916201233863831,0.7
